epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5627,2.39832,4.08218,2.1087,0.00415,0.4875,0.02653,0.01918,1.6284,4.08404,1.49465,4.287e-05,4.287e-05,4.287e-05
2,103.073,2.04756,3.75574,1.83152,0.00516,0.50972,0.16885,0.10974,1.67552,3.91878,1.50645,9.90397e-05,9.90397e-05,9.90397e-05
3,157.063,1.77039,3.24408,1.64108,0.01201,0.46528,0.2618,0.15834,1.50728,3.83821,1.39979,0.000154078,0.000154078,0.000154078
4,254.066,1.74289,2.75907,1.52423,0.02819,0.42083,0.2888,0.1742,1.82146,3.77993,1.44132,0.000207984,0.000207984,0.000207984
5,316.722,1.53286,2.37807,1.39087,0.01338,0.39861,0.29322,0.17918,1.73138,3.76211,1.44787,0.000260758,0.000260758,0.000260758
6,364.523,1.6023,2.29704,1.43735,0.00805,0.44306,0.25878,0.1282,1.7866,3.82284,1.56463,0.000312401,0.000312401,0.000312401
7,410.93,1.48246,2.25204,1.34933,0.00543,0.48611,0.23231,0.14418,1.76937,3.74909,1.58051,0.000362912,0.000362912,0.000362912
8,456.437,1.55884,1.92212,1.38326,0.00603,0.52778,0.31239,0.18256,1.82449,3.68726,1.47497,0.000412291,0.000412291,0.000412291
9,500.679,1.43216,1.88901,1.32016,0.00724,0.52778,0.30582,0.19447,1.79005,3.70258,1.42461,0.000460538,0.000460538,0.000460538
10,547.37,1.49252,1.92665,1.35296,0.72224,0.42222,0.37041,0.24943,1.70531,3.52923,1.37696,0.000507654,0.000507654,0.000507654
11,599.716,1.4449,1.83585,1.3245,0.76534,0.30302,0.33207,0.20734,1.62168,3.45175,1.32767,0.000553637,0.000553637,0.000553637
12,646.891,1.39275,1.93938,1.31891,0.87124,0.25293,0.35014,0.21731,1.65833,3.44924,1.39117,0.000598489,0.000598489,0.000598489
13,695.932,1.3989,1.69828,1.2583,0.74918,0.1889,0.27648,0.12411,1.89884,3.69572,1.48075,0.00064221,0.00064221,0.00064221
14,745.957,1.45953,1.83024,1.31735,0.66667,0.1103,0.23159,0.11649,1.7708,3.66475,1.45299,0.000684798,0.000684798,0.000684798
15,793.1,1.43247,1.73129,1.31428,0.6568,0.13333,0.27793,0.16595,1.70404,3.50175,1.37272,0.000726255,0.000726255,0.000726255
16,841.294,1.32247,1.74278,1.24448,0.75925,0.19206,0.32656,0.21174,1.69751,3.3773,1.37862,0.00076658,0.00076658,0.00076658
17,889.436,1.3768,1.68322,1.24977,0.84398,0.24657,0.3827,0.24316,1.76022,3.35276,1.41232,0.000805773,0.000805773,0.000805773
18,934.459,1.41371,1.72354,1.26266,0.78406,0.20394,0.4128,0.26579,1.75427,3.26215,1.37798,0.000843835,0.000843835,0.000843835
19,976.745,1.36307,1.63212,1.26684,0.44074,0.3827,0.42849,0.2852,1.70558,3.08792,1.37658,0.000880764,0.000880764,0.000880764
20,1022.27,1.32954,1.60078,1.23911,0.71512,0.34958,0.41355,0.25078,1.78436,3.16916,1.44199,0.000916562,0.000916562,0.000916562
21,1066.72,1.26377,1.6873,1.23406,0.7564,0.41284,0.3855,0.23713,1.80462,3.01539,1.57215,0.000951228,0.000951228,0.000951228
22,1113.71,1.3477,1.71024,1.25299,0.87015,0.37778,0.39594,0.24295,1.81219,3.00407,1.56715,0.000984762,0.000984762,0.000984762
23,1159.05,1.38424,1.71193,1.27497,0.83287,0.38954,0.41187,0.23401,1.91668,3.09565,1.62163,0.00101717,0.00101717,0.00101717
24,1201.45,1.43721,1.75732,1.2927,0.7282,0.4,0.37851,0.22481,1.85296,2.9796,1.54534,0.00104844,0.00104844,0.00104844
25,1243.39,1.41162,1.73116,1.31308,0.51313,0.50377,0.43771,0.25498,1.79038,2.64366,1.48321,0.00107857,0.00107857,0.00107857
26,1288.31,1.3683,1.57379,1.24291,0.54695,0.45397,0.42633,0.24123,1.76413,2.69838,1.43817,0.00107532,0.00107532,0.00107532
27,1331.59,1.24457,1.59695,1.21861,0.45584,0.50694,0.41066,0.24675,1.71271,2.48695,1.39161,0.00106118,0.00106118,0.00106118
28,1376.5,1.23126,1.50795,1.22622,0.80586,0.43721,0.43338,0.25398,1.71301,2.52409,1.37498,0.00104703,0.00104703,0.00104703
29,1423.64,1.32777,1.51903,1.20525,0.57815,0.50812,0.43112,0.27088,1.74136,2.42151,1.39693,0.00103288,0.00103288,0.00103288
30,1480.82,1.30685,1.50242,1.28873,0.54355,0.4848,0.43605,0.29844,1.69618,2.33333,1.42366,0.00101873,0.00101873,0.00101873
31,1529.77,1.2844,1.57096,1.2341,0.52492,0.4875,0.43845,0.28508,1.7313,2.32977,1.45467,0.00100459,0.00100459,0.00100459
32,1575.64,1.30393,1.48096,1.22082,0.57562,0.51698,0.46152,0.28727,1.77676,2.34838,1.45618,0.00099044,0.00099044,0.00099044
33,1625.72,1.16633,1.44623,1.17873,0.44058,0.59167,0.46346,0.28915,1.80357,2.44887,1.42276,0.000976293,0.000976293,0.000976293
34,1674.99,1.21302,1.45794,1.16393,0.56714,0.47269,0.47368,0.28428,1.74461,2.40758,1.35224,0.000962146,0.000962146,0.000962146
35,1740.43,1.25582,1.52556,1.1948,0.54786,0.44037,0.44627,0.28803,1.76222,2.47489,1.36719,0.000947999,0.000947999,0.000947999
36,1826.36,1.24132,1.52123,1.16834,0.45497,0.47303,0.46617,0.30257,1.71395,2.47782,1.3752,0.000933851,0.000933851,0.000933851
37,1872.57,1.2246,1.3624,1.15645,0.49638,0.46389,0.48593,0.30849,1.6451,2.28307,1.34061,0.000919704,0.000919704,0.000919704
38,1931.95,1.17108,1.38594,1.15301,0.49714,0.59722,0.47433,0.29792,1.58614,2.16053,1.33653,0.000905557,0.000905557,0.000905557
39,2002.87,1.21276,1.41596,1.16616,0.50937,0.59014,0.48041,0.29078,1.64271,2.12223,1.35797,0.00089141,0.00089141,0.00089141
40,2064.12,1.13835,1.30854,1.13732,0.51768,0.60479,0.47031,0.28943,1.64065,2.12539,1.3769,0.000877263,0.000877263,0.000877263
41,2119.19,1.18403,1.37044,1.13628,0.49543,0.58664,0.4619,0.29632,1.62642,2.16681,1.40678,0.000863116,0.000863116,0.000863116
42,2185.05,1.1559,1.31455,1.12863,0.50353,0.65833,0.4747,0.29741,1.68848,2.16545,1.43676,0.000848969,0.000848969,0.000848969
43,2256.39,1.1712,1.38247,1.15207,0.50062,0.63729,0.46628,0.30215,1.71949,2.14753,1.41587,0.000834822,0.000834822,0.000834822
44,2316.16,1.14106,1.31839,1.12528,0.51273,0.61893,0.46794,0.29446,1.74722,2.13713,1.41785,0.000820675,0.000820675,0.000820675
45,2374.55,1.13188,1.32757,1.13123,0.51008,0.55,0.46278,0.28655,1.67748,2.16624,1.3877,0.000806528,0.000806528,0.000806528
46,2449.21,1.11966,1.37446,1.14263,0.54964,0.57083,0.48129,0.28152,1.6859,2.27504,1.37141,0.00079238,0.00079238,0.00079238
47,2509.32,1.17004,1.35076,1.15915,0.59758,0.55,0.48998,0.29842,1.66353,2.23111,1.3281,0.000778233,0.000778233,0.000778233
48,2558.18,1.14291,1.32834,1.1502,0.51068,0.57083,0.47639,0.30334,1.62539,2.09115,1.29963,0.000764086,0.000764086,0.000764086
49,2618.77,1.08928,1.27721,1.10047,0.51796,0.70261,0.48213,0.29692,1.5943,1.95526,1.2713,0.000749939,0.000749939,0.000749939
50,2675.38,1.11919,1.38989,1.13913,0.54268,0.71135,0.50302,0.31372,1.55583,1.90717,1.27466,0.000735792,0.000735792,0.000735792
51,2759.88,1.0859,1.25003,1.11111,0.58311,0.5675,0.53008,0.33314,1.56882,1.92324,1.28815,0.000721645,0.000721645,0.000721645
52,2823.75,1.07763,1.31093,1.1378,0.55008,0.60882,0.54239,0.3343,1.5634,1.9488,1.28814,0.000707498,0.000707498,0.000707498
53,2874.45,1.07571,1.21544,1.08984,0.55057,0.61801,0.51274,0.3273,1.58102,1.98463,1.28368,0.000693351,0.000693351,0.000693351
54,2921.11,1.12481,1.25834,1.11434,0.52678,0.59306,0.51066,0.32659,1.58934,1.97312,1.27344,0.000679204,0.000679204,0.000679204
55,2974.39,1.04933,1.21583,1.08433,0.52906,0.65972,0.50767,0.32703,1.56827,1.94158,1.26558,0.000665057,0.000665057,0.000665057
56,3042.53,1.05912,1.24696,1.08399,0.48821,0.66859,0.50484,0.32559,1.55522,1.89488,1.279,0.000650909,0.000650909,0.000650909
57,3101.17,1.0489,1.24192,1.10543,0.47457,0.59306,0.50557,0.33714,1.52939,1.91166,1.29988,0.000636762,0.000636762,0.000636762
58,3160.36,1.08772,1.18167,1.13364,0.48268,0.59306,0.50982,0.3346,1.5324,1.93084,1.30067,0.000622615,0.000622615,0.000622615
59,3206.9,1.05321,1.15034,1.07065,0.46606,0.60977,0.50417,0.33293,1.53453,1.91575,1.25672,0.000608468,0.000608468,0.000608468
60,3251.19,1.06645,1.24709,1.09602,0.48388,0.59167,0.51557,0.33911,1.50972,1.90897,1.23352,0.000594321,0.000594321,0.000594321
61,3300.66,1.06103,1.15858,1.12273,0.49941,0.608,0.52402,0.34046,1.49308,1.93296,1.22455,0.000580174,0.000580174,0.000580174
62,3343.81,1.03815,1.20824,1.0893,0.51627,0.66512,0.52907,0.33724,1.47467,1.89997,1.21704,0.000566027,0.000566027,0.000566027
63,3380.84,1.0564,1.17965,1.11805,0.45424,0.69011,0.5138,0.33447,1.4771,1.86724,1.21801,0.00055188,0.00055188,0.00055188
64,3423.71,0.98908,1.14919,1.06251,0.44919,0.61528,0.50241,0.33686,1.50635,1.88605,1.22496,0.000537733,0.000537733,0.000537733
65,3468.18,1.07621,1.20076,1.08572,0.49425,0.61528,0.50809,0.33327,1.51214,1.89858,1.23845,0.000523586,0.000523586,0.000523586
66,3526.57,1.00733,1.24127,1.11652,0.4902,0.5797,0.52219,0.34033,1.51402,1.89173,1.25453,0.000509438,0.000509438,0.000509438
67,3568.79,1.02949,1.14931,1.06202,0.42628,0.70278,0.51988,0.31278,1.52776,1.88556,1.26614,0.000495291,0.000495291,0.000495291
